春节对联
四言联
风和日丽  三星在户  百事皆乐  民生有幸
人勤地丰  五业其昌  万象更新  国运无疆
云霞呈秀  门迎百福  天开化宇  金莺报喜
梅柳生辉  户纳千祥  人在春台  玉燕迎春
五言联
阳光凝大地 年丰人益寿 迎春接福日 江山千古秀
春色入人家 春早福盈门 足食丰衣年 祖国万年春
人随春意泰 勤劳能致富 同修富裕路 山河添秀色
事共壮怀成 和睦可生财 共建文明村 大地沐春晖
好景年年好 政通千家福 太平真福贵 春晖盈大地
新春岁岁新 人和万户春 春色大文章 正气满乾坤
淑气芝兰茂 三阳临吉地 国登强盛境 春明有富贵
春风桃李香 五福萃华门 人过富裕年 风静全家安
花随春意发 庆新春肇事 人民歌永泰 一年春作首
福从好运来 祝大业终成 祖国庆长春 百事德为先
半年飞瑞雪 岁月随人好 万里春光美 祖国春如海
好景舞春风 山河照眼明 九州瑞气浓 人民力胜天
梅花开五福 年年歌大有 新风开盛世 红点桃花嫩
竹叶报三多 岁岁颂新康 春色壮神州 青描柳色新
天开新岁月 四海春光好 人民歌大治 党指通天路
人改旧乾坤 九州气象新 祖国庆长安 民怀报国心
神州臻百福 风和催四化 玉堂浮瑞气 共祝升平日
盛世集千祥 政通喜千家 金室耀祥光 同沾大有年
事业随春长 普天开景运 跨峥嵘岁月 龙飞欣晓日
风光逐日新 大地沐春晖 奔锦绣前程 马到庆丰功
日月光天德 有年皆丽日 云霞出海曙 春风舒冻柳
云霞拥地灵 无处不春风 梅柳渡江春 瑞雪兆丰年
和光生柳叶 风助飞雪舞 青山多画意 吟竹诗含翠
春色泛桃花 诗伴落梅吟 春雨润诗情 画梅笔带香
华文春日丽 神州春浩荡 普天开远景 云霞成异彩
瑞色紫云高 寰海日光华 大地焕新风 梅柳动春风
六言联
瑞雪娇梅袅柳  户户金花报喜  祖国河山似锦
天将以为木铎 白沙诗思同激节
人望之如神仙 王局文章继老泉
桃李满园祝寿考  有酒盈樽为先生寿
诗书盈榻度春秋  作文献颂修弟子仪
文名高北斗 泊辈门墙承化雨 子读诗书思获画
颂语比南山 先生杖履照春风 人观体法祝萱龄
藏山事业三千牍 万春方华千龄始里 天保一诗俾尔戬谷
往事神仙五百年 群流仰镜大雅扶轮 华封三视为君称觞
云近蓬莱成五色 后辈门墙承化雨  教子成名贤齐孟母
花开桃李列千行 先生杖履煦春风  娱亲献寿彩舞莱儿
宴启华堂喜见庥姑东降  画荻仰母仪令子才名追六一
灯悬绛怅欣看昆母西来  蟠桃介慈寿仙家岁月记三千
看娱老彩衣莱子并承诗礼训 寿世文章一代斗山韩吏部
侍传经绛幔韦母未亏视听能 等身著作六经鼎海郑司农
乐羊子学业有成原赖断机励志
孟德耀相夫以敬自应举案齐眉
寿考作人髦士奉觞齐向椿庭祝嘏
诗书启后华堂酌斗岂真菽水承欢
达材成德幸相期坐小子风中一月
耳顺从心无止境祝先生杖履千春
从幼年壮年至晚年学期随日月并进
修体育智育及德育人寿与天地同参
女界仰师宗胸贮钳珠咏絮清才传早岁
遐龄添寿算手牵彩帨称觥乐事庆长春
有令子名重儒林菽水承欢庭前多种忘忧草
惟贤母望孚慈壶华堂晋祝发上新簪益寿花
纱幔乐薰陶共钦巾帼名师教育扩充光女界
璇闺添帨豫长驻蓬壶丽景期颐迭晋祝龟龄
拜手仰慈云谂知鸿案多情春永兰闺添乐事
倾心承化雨省识鳣堂溢喜日长蓬岛祝遐龄
军人寿联
威名高北斗 勋章耀文虎  将军称大树
勋业寿南山 老子其犹龙  元老祝长春
帐上祝九五福寿 萱室春长莱衣献舞 狨座扬威勋昭日月
胸中具十万甲兵 柳营秋爽桃宴胪欢 鹤寿添算福享春秋
威镇边庭勋业重 君子万年诗歌锡类 龙马精神威扬海甸
功铭钟鼎寿龄高 健儿百辈朋酒胪欢 岳嵩钟毓秀挺蓬莱
早岁请长缨果然功立  开府建年朔方节度使
良辰酌大计允矣年高  延年益寿南极老人星
政法界寿联
陈洪范九五福  庆治悬弧娱晚景  自是君身有仙骨
祝生佛亿万家  恩周挟纩驻春晖  无如尊贵又长生
海宁尘清资上略 经济匡时昭一代 窦桂流芳鲤庭遵训
蓬山春暖护长春 功名寿世足千秋 乔松进祝鹤算添筹
东社耆英欢国嘉会  官府即神仙饲鹤调琴培寿脉
平泉花木怡养暮年  叟童齐鼓舞扶鸠骑竹庆生辰
禄养慈亲金章耀彩  德政播四方常与斯民造福
荣褒寿母锦帨腾辉  颂声盈万户共祝使君延年
勋名富贵特萃一身立言立功先在立德 策杖扶鸠善人征寿相
经济文章不分两事寿国寿世尤宜寿民 调琴饲鹤仙署驻长春
医师寿联
医国医人同兹医意  戏习华伦禽医国医民宏胞与
寿民寿世亦以寿身  觥称豳俗兕寿人寿已乐康强
药回生香别有壶中日月 科学专家刀圭巧擅西欧术
芝田纪算俨然世上神仙 仁心济世寿算明添南极星
艺术界寿联
画与书皆妙 翰墨春光耀寿域 银汉图成富贵寿考
寿同福并高 丹青异彩入霞觞 香山绘就神仙耆英
艺名高北斗 气吐烟云情若水 气吐烟云情怡山水
琴韵颂南山 胸藏家国寿如山 胸藏丘壑寿祝冈陵
婉啭歌喉麻姑献寿 词苑诗坛大手笔 钟鼎名山八分垂露
翩跹舞袖天女散花 鹿骑鹤驾老寿星 文章寿世十牒屏风
斗酒百吟诗人高寿 戏剧作千秋宝鉴 帖写换鹅书名传世
奇文十卷墨客遐龄 史传读五代伶官 文成舞鹤寿算添筹
流水高山琴声养性 下棋悟玄机河洛探源推国手
珠徽玉柱彩舞承欢 长庚耀瑞彩星辰布局识大心
丧葬挽联
通用挽联
慈惠常留众口颂 同向甘棠挥雨泪 想见音客空有泪
典型堪作后人师 难将寸草报春晖 欲闻教训杳无声
空梁月冷人千古 九源有泪流知己 慎终不忘先人志
华苑魂归鹤一声 万户同声哭善人 追远常怀一片心
南极无辉寒北斗 雨霖舌蕊流红泪 未弭前思顿成永别
西风失望病东人 雪压松枝着素装 追录笑绪皆为悲端
魂归天上风云惨 壮怀犹在风云上 看水兴悲愁碧汉
名在人间草木香 诗卷长留天地间 望云垂泪染丹枫
山耸北郊埋硬骨 云深竹径樽犹在 泪添九曲黄河溢
泽留乡里仰高风 雪压芝田梦不回 恨压三峰华岳低
往日论交钦恕道 盛德合应传后世 福寿全归音容宛在
今朝追悼寄哀思 遗形从此望前贤 齿德兼隆名望常昭
良操美德千秋在 人问未遂青云志 美德堪称吾辈典范
亮节高风万古存 天上先成白玉楼 遗训长昭后世子孙
不成门户愧为子 情深风木终天恸 想见音容云万里
难报春晖欲断肠 泪点寒梅触景思 思听教诲月三更
音容宛在灵车驾 千至吊君惟有泪 烟径云迷风凄翠柳
子女堂前血泪抛 十年知己不因文 石阶露冷雨泣黄花
等闲暂别犹惊梦 白骨未归三尺土 群山披素玉梅含孝意
此后何缘再晤言 忠魂已上九重天 诸水鸣悲杨柳动伤情
勤劳美德愿儿孙永继   生前忠节似松凌霜雪
简朴家风望后代长传   身后高风如水照青天
多少人痛悼斯人难再得  少者亡老者存数诚难测
千百世最伤此世不重来  天之涯地之角情不可终
终身俭朴留典范     明月清风怀入梦
一世勤劳传佳风     残山余水读遗诗
平生风义兼师友 夏雨花残春已去 秋草独寻人去后
来世姻缘结弟兄 秋风月落夜难圆 家林只见日西斜
三更月冷鹃犹泣 有子读书父不死 一腔热血倾公务
万里云空鹤自飞 为人有用鬼亦英 两袖清风为人民
严亲已去恩未报 膝下承欢未尽意 山耸北郊埋忠骨
慈怀不留孝难行 床前伺奉尚余心 泽留乡里仰逸风
风凄瞑色愁杨柳 空梁月冷人千古 死去原知千古恨
月吊宵声哭杜鹃 华表魂归鹤一声 生来已作万年传
老泪无多哭知己 兹竹当风空有影 倚门人去三更月
苍天有感泣斯人 晚萱经雨仍留芳 柱杖儿悲五夜寒
秋水蒹葭溯往昔 英姿爽气归图画 未弭前思顿成永别
春风桃李想恩人 丹心壮志遗儿孙 追寻笑绪皆为悲端
美德常于人世里 悲音难挽流云住 春光挑叶鸯啼湿
英灵永在天地间 哭声相随野鹤飞 夜雨萤花蝶萝寒
可歌可泣勤风朴范 梦断庚星韬光匿彩 著作名山与天同寿
可哀可怜缩食节衣 心伤子夜返璞归真 感伤逝水厌世长辞
华表千秋精灵宛在 人到盖棺方有定论 日月驶如流一朝永诀
名山一卷著述长留 我将碎琴以报知音 风云诚不测千古同哀
多少人痛悼期人难再得  寿越七旬睦邻精神今犹在
千百世最伤此世不重来  含笑九泉勤俭作风永世传
契合拟金兰情怀旧雨   鞠躬尽瘁寸心不感尤不愧
飘零悲玉树泪洒凄凉   光明磊落一生无谄也无骄
青山绿水长留生前浩气  风云忽变天愁地哀无日暖
苍松翠柏堪慰逝后英灵  松竹猝折山悲水怨剩月寒
德重如山寸草春晖难报德  齿德俱尊犹执谦恭敦族谊
恩深似海空庭月夜痛思恩  形神虽逝尚留清白著乡评
烟雨凄迷万里红花洒血泪  跨鹤孤山三十载梅花一梦
音容寂寞千条流水放悲声  骑鲸采石五百年明月重圆
天若有情应寿百年于俊杰  大雅云云绿水青山谁作主
人谁不死独将千古让英雄  老成凋谢落花啼鸟总伤神
大雅云亡绿水青山叙遗志  残月冷空山群谷已随黄石去
老成凋谢落花啼鸟总伤情  寒云低野渡束刍空怅素车来
规律难违自古谁能千年寿  道其犹龙呼剑水云横嗟去渺
高风永继而今人仰一世功  翁今化鹤矣花庭月暗恨归迟
撒手了无难尘世长辞归碧落
伤心将大用夕阳虽好近黄昏
樽酒昔言欢，烛剪西窗，犹忆风姿磊落
人琴今已杳，梅残东阁，只余月影横斜
慧业几生修，梅瘦冰清，如此多才胡不寿
故人双泪下，枫青月落，纵交入梦也吞声
故旧情深，忆白发青灯，围炉曾共谈家事
秋风萧瑟，对丹枫黄菊，登堂同悼老成人
通用挽联横批
品德高尚 永垂千古 典型宛在 鞠躬尽瘁
高风亮节 望云思亲 忠厚待人 俭朴家风
风范永存 遗爱千秋 德及梓里 音容宛在
功名不朽 名留后世 德范常在 懿德常存
千古流芳 清廉正直 浩气长存 舍己为人
天人同悲 功在乡里 勤劳一生 德高望重
流芳百世 劳苦功高 松柏长青
丧用特殊挽联
灵堂挽联
心流碧血    灵前泪雨洒    哭灵心欲碎
恨断黄泉    堂上儿孙泣    弹泪眼将枯
凄风洒地    伤心成永诀    生死情难舍
抱恨终天    挥泪泣慈亲    阴阳路已分
赴青帝约    风凄三楚地    正气传千古
跨白鹤归    云暗半边天    忠魂上九霄
素横银汉    半天星遽陨    灵外奠云聚
泪洒黄花    三伏气犹寒    堂中悼念多
一人离世    朔风椿树折    寿终德望在
四代同悲    残月梓株寒    身去音客存
音容已杳    桃花泣血泪    恨地憎天泣血泪
德泽犹存    柳叶锁愁眉    捶胸跺足放悲声
灵前飞烟雨   燕剪麻衣素    乍闻噩耗肝肠断
堂上放悲歌   蛙敲丧鼓悲    每念深恩面貌归
一堂哀乐揪心肺 万种愁肠数不尽 魂归天上风云暗
四面悲声孝子孙 两眶血泪几时干 名在人间草木香
生前厚德心无愧 慈惠高风垂万古 山耸北郊埋白骨
死后清名口有碑 冰操懿范足千秋 泽留乡里仰英名
苍山有雨皆成泪 何必生前门第贵 自有芳馨留梓里
白水无波不载衰 难求死后姓名香 应无遗憾到泉台
万里云天悲落日 长著芳名于竹帛 月下双双流泪眼
千行泪水洒长空 永留清白在人间 灵前个个断肠人
把酒焚香而祭尊 心中永念生前事 想见音客空有泪
长歌当哭以招魂 世上长留死后名 欲闻教诲杳无声
有眼苍天同我哭 生时磊落心无愧 一世精神归梦地
无情明月任它圆 去日坦然魂亦安 满堂血泪洒云天
雨中竹叶含珠泪 苦雨凄风悲永决 柳知孝意飞花白
雪里梅花戴素冠 寒天冷月悼孤魂 鹃解哀情泣血红
一人眠目如灯灭 长著久名于竹帛 雪里梅花含孝意
合族痛心似火烧 永留清白在人间 水边金柳动哀情
想见亲容云万里 难从言下闻遗训 流水夕阳千古恨
毋供菽水泪千行 敬向灵前献瓣香 暮云春树一天愁
唢呐三声和泪去 诀别亲人常惦念 悲声难挽流云住
悲歌一曲伴云归 难逢知己更伤悲 泪雨相随野鹤飞
君去九泉容独在 雨淋紫竹垂红泪 德厚业精光荣一世
友来三拜泪双流 雪压青松戴素冠 福圆寿满安息九泉
死博千秋独有清辉留马帐 魂断今宵万里寒云增缟素
生悭一面惟余泪眼看羊碑 名留梓里一天悲泪洒青山
堂前悬遗像凝眸挥洒凄凉泪
室内响余音侧耳聆听教诲声
生于黑世苦矣叹操劳少食缺衣惊鹤唳
梦断黄梁福兮期久享伤心挥泪怕鹃啼
棺木挽联
体驾一棺忽去也   劭德留乡里   身随棺木黄泉去
魂升隔世曷来乎   仙魂赴九泉   名与母仪盛世留
守孝挽联
宁教难忘父教     节日香灯施羹饭
安居牢记党恩     平时泪眼望慈容
春复椿不复      年年过节年年有
岵存父何存      日日思亲日日无
父母音容常在梦    梦牵慈母手中线
儿孙思念总萦怀    针缝爱儿身上衣
守考不知冰雪冷    春意难消萱阁冷
思亲倍感弟兄贤    雪花骤落孝家哀
神州处处皆春色    庭前春近疑无影
懿母嗣嗣独素风    梦里云迷系所思
母往方壶千古乐    犹忆熊刃承母训
儿居家室百年哀    何从鸟喃报慈恩
梅花有意含珠泪    思存杏雨烟笼月
竹叶多情唱挽歌    念寄杨花絮漫天
桃花含笑垂红泪    五福堂添子女泪
柳叶凝烟锁翠眉    三多庭念父母恩
素纸写春联早知门外新春至
哀思驱岁月快告世间旧岁除
丧用特殊挽联横批
碧血千秋  名留史册  名垂宇宙  大义凛然
悲歌动地  忠魂不泯  音容宛在  永垂不朽
英灵常在  寿终德望  肝胆照人  千载英灵
挽男联
良操美德千秋在 泪眼常濡春雨湿 椿影已随残月去
亮节高风万古存 愁容单逐白云飞 桂香犹逐好风来
千山不语齐俯首 万里云天归落日 水流东去归大海
万水鸣咽共吹箫 一门雨泪洒麻衣 日转西沉思故人
兰亭少长悲陈迹 老泪无多哭知己 千卷史书怀拥座
玉局风光叹化身 苍天何遽丧斯人 一帘风雨忆篝灯
日落西山常见面 空梁月冷人千古 何如一梦飞蝴蝶
水流东海不回头 秋风桐叶一天愁 竟使千秋泣杜鹃
径扫丹枫皆丧礼 翠色和云笼夜月 龙隐海天云万里
门临白马尽佳宾 玉容带雨泣春风 鹤归华表月三更
白雪有情亦落泪 春雨梨花千古恨 空山月冷人何在
绿竹无语也含悲 秋风桐叶一天愁 幽宅风寒痛莫穷
玉树长埋悲老友 志同松柏清同竹 蓬门日影高轩过
瑶花焕发盼佳儿 言可经纶行可师 蒿里歌声白马来
扶桑此日骑鲸去 骑虬夜冷湖边月 白马素车愁入梦
华表何年化鹤来 驾鹤朝栖岭上云 青天碧海怅招魂
泪添九曲黄河溢 风凄瞑色愁杨柳 朗月清风怀旧宇
恨压三峰华岳低 月吊宵声哭杜鹃 残山剩水读遗诗
往日论交钦恕道 剑空宝匣龙应化 九原有泪流知己
今朝追悼寄哀思 云锁丹心凤不来 万户同声哭善人
绿水青山谁作主 云深竹径樽犹在 一世精神归华表
落花啼鸟总伤神 雪压芝田梦不回 满堂血泪飞云天
流水夕阳千古恨 三月雨催椿树萎 流水夕阳千古恨
秋霜春雨万人思 五更风促杜鹃啼 暮云春树一天愁
主业已归前辈录 桃花流水杳然去 风吹秋水起珠浪
典型留与后人模 明月清风何处寻 雨点春山满眼悲
看山兴悲愁碧汉 鹤驾已随云影杳 君子终日朝乾夕惕
望月垂泪染丹枫 鹃声犹带月光寒 先生之风山高水长
壶中日月三生梦 鹤唳三更空月冷 人雅云亡空怀旧雨
海上云山万里秋 鹃啼午夜咽风寒 哲人其萎怅望高风
夕阳流水千古恨 雨入白山都是泪 为人正直毕生无愧
春露秋霜百年愁 云是黑纱总成愁 办事公道浩气常存
三径寒松含露泣 风号夜树子规啼 华表千秋精灵宛在
半窗残竹带风号 雪扫重门白马咽 名山一卷著述长留
古同松柏清同竹 风骨直超双鹤上 三岛十洲神游天外
言可经纶行可师 语音犹在五云中 七贤九老名在人间
四壁萧然悲夜月 翠色和云悲夜月 天故忌才谁能无恸
三更冷落悯春辉 玉容带雨泣秋风 世方多难君曷云亡
秋草独寻人去后 回溯前尘情同骨肉 海阔天空忽悲西去
寒林只见日斜时 追怀往事痛断肝肠 乌啼月落犹望南归
流水夕阳千古恨 大雅云亡风凄紫陌 南极星残徒陈椒酒
凄风苦雨漫天愁 哲人其萎雨泣青郊 华堂日谈空进桃汤
英灵不泯化万里旌飙  多少人痛悼斯人难再得
忠魂长在育千尺奇松  千百世最伤此世不重来
风惨云凄对青灯而自苦 少者亡老者存数诚难测
山颓木坏痛绛帐之空悬 天之涯地之角情不可终
通用挽男联横批
鹤归华表  大雅云亡  音客宛在
名远德高  骑鲸西归  老成凋谢
哲人其菱  遗范永垂  高风亮节
挽女联
名标彤史范 女星沉宝婺 落花春已去 日碧魂依蔓草
望断白云乡 仙驾返瑶池 残月夜难圆 雪红泪洒桃花
白云悬影望 淑德标彤史 风木有遗恨 户寂凄风冷
乌鸟切遐思 芳踪依云云 瞻依无尽时 楼空苦雨寒
画荻踪难觅 天下皆春色 花为春寒泣 春雨梨花千古恨
扶桐泪欲倾 吉门独素风 鸟因肠断哀 秋风梧叶一天愁
倚门人去三更月 花落萱帏春去早 慈竹当前空有影
泣杖儿悲五夜寒 光寒婺宿夜来沉 莲花此日尚留香
芳草清幽香满院 身似芳兰从此逝 雨泣黄花应有恨
凄风苦雨哀盈门 心如皓月几时归 风凄翠竹更堪悲
幽兰仍觉遗风在 懿德难忘流痛泪 忽报风凄三楚地
宿草何曾润雨干 慈恩未报统愁肠 怕看云黯半边天
慈竹霜寒丹凤集 魂归九天悲夜月 绮阁风凄伤鹤唳
桐花香萎白云悬 芳流百代忆春风 瑶阶月冷泣鹃啼
画堂省识春风面 案积靶香存手泽 花落胭脂春去早
环宇空归月夜魂 庭余芝草见心田 魂销锦帐梦来惊
惠质兰姿归阆苑 雨霖杏蕊流红泪 天台白楼归仙驾
琼林玉树绕阶庭 雪压松梢戴素冠 亲情慈爱梦母回
画堂省识春风面 西笠莲翻云流悲 懿范永垂家国史
环珮空归月夜魂 北堂萱萎月哭寒 慈容犹绕子孙行
魂归九天悲夜月    菊径荒凉冥漠秋效悲雨泣
芳流百代忆高风    蓉城缥缈苍茫野陌帐风凄
南国化行长留懿范   南浦羁愁明月梅花空有影
北堂春去空仰慈颜   西池返驾凄风慈竹不容春
湘水曲终蓬山路杳   梦断北堂春雨梨花千古恨
妆台生掩皓月雪封   机悬东壁秋凤桐叶一天愁
菊径荒凉，买漠秋郊悲雨泣 冷月写凄凉响砌秋声听悲惨
蓉成缥缈，苍茫野陌帐风凄 慈云归缥缈空庭落月恨何如
通用挽女联横批
丹桂香存 巾帼英雄 母仪千古 母仪足式
莫云安仰 慈颜永存 懿范犹存 百世流芳
淑德一生 琼楼月缺 女史流芳 凤落长空
女宗共仰 美德遗风 霜陨萱帏
各种专用挽联
挽曾祖父母联
百年能几许有守有为托燕翼
一笑竟长归无忧无虑赴龙华
挽祖父联
辞尘祖去空留像 一夜秋风狂摧祖竹 欲见严容何处觅
投笔人回不见颜 三更凉露泪洒孙兰 惟思良训弗能闻
祖父尘生音容犹在    勤劳本质儿孙永记
嫡孙承垂日黯心痛    革命家风世代不忘
风起云飞室内犹浮诫子语 寂寞乾坤邈笑一公何所在
月明日黯堂前似闻弄孙声 凄迷风雨哀哉两字弗堪闻
祖德本堪传，耕种书田，共荷谋贻燕翼
先芬徒泣诵，抚摩磐石，何以虑竭乌私
挽祖母联
祖母仙游千栽去    抱孙昔日恩如海
诸孙泪洒何日干    承服今朝痛彻心
念祖母毕生操劳伤罔报  慈训长昭谨守燕谋毋或失
教孙曹终天抱恨痛难忘  深恩未报情陈乌哺永难忘
挽外祖父联
无病而终修是福 美德常存天地间 公颜自后从何视
流泪不止悲为孙 嘉风久惠山河里 善训而今总莫聆
想见尊空云万里    福寿全归赓续诗歌绵祖德
孙听训教月三更    音容忽敛叨陪杖履泣孙行
纵属铁石亦为洒泪 厚谊附饴含从前雅嗜枣梨辱赐宠言蒙眷爱
凡兹外孙怎不伤悲 深恩承岳戴此后傥闻丝竹缅怀往事益欷觑
挽外祖母联
宅相怀惭空忆音容符祖德   堪叹落花流水去
孙行忝附还将色笑慰娘恩   肯教明月送魂归
老母哭母痛泪难干  鹤发龙钟王母胡为邀天上
外孙如孙慈恩未报  桑田沧海神仙久住厌人间
萱幄喜长春视外孙如孙慈恩未报
莲台已仙去随老母哭母悲泪难干
挽父亲联
泪血染成离落菊 椿影已随云气散 如此韶华春犹未老
悲肠裂碎砚池水 鹤声犹带月光寒 何来噩耗父竟云亡
流水夕阳千古恨 只见三秋多苦雨 春风有恨垂疏柳
暮云春树一天愁 谁知九月别严亲 晓露含愁看早梅
孝事伤心梅花欲白  音容莫睹伤心难禁千行泪
啼痕泣血枫叶成丹  亲恩未报哀痛不觉九回肠
亲厌尘纷寿终正寝归蓬岛 缺恨向谁言恨未胪欢承菽水
儿悲手泽眼流双泪滴麻衣 终天成永诀空余后悔断肝肠
挽母亲联
空悬月冷人千古 兰径水流三月暮 怕看椒花含泪水
华表魂归鹤一声 董帏花谢一庭春 空闻萧鼓觅慈容
隔世欲望慈母影 莫报春晖伤寸草 惊春花染杜鹃血
三餐嚼碎赤子心 空余血泪泣萱花 倚门深得子规啼
倚阁风寒伤心鹤唳   梦断北堂，春雨梨花千古恨
兰台月冷陨涕萱阴   机悬东壁，秋风桐叶一天愁
九霄雪花，纷纷苍天表悲意 德重如山，寸草春晖难报德
三溪流水，淙淙大地动哀情 思深似海，空庭月夜痛思恩
挽岳父联
老翁容貌不再见 峰顶大人嗟已矣 恩同父称已随云影散
小婿瞻仰竟无期 膝前半子痛何如 爱并儿号犹带月光寒
浮白自渐苏子美 丈人峰屺已作古 半子情深诗礼训
垂青空忆李文公 半子情灰念风范 三山迎杳海天秋
昔年樗质来龙谊邀半子  公不少留风木伤心分半子
今日蓉城返驾情自含辛  吾将安仰典型客欲问重泉
和凤寄高台雪冷椿庭忍听悲声翻玉管
骖鸾望古道月明苏馆不堪清影谢冰花
挽岳母联
镜台前伤心徒洒千行泪  忆半子昔日乘龙东床有幸
同堂上报德未伸半子心  痛岳母今朝驾鹤北堂无依
凄凉甥馆慈云黯 莲蕊生香甥馆月 自入婿乡蒙厚爱
缥缈仙乡夜月寒 萱花遽谢佛堂云 何堪甥馆香慈云
莲蕊生香有子心中无限苦 获迭昔乘龙独忆东床初坦腹
萱花遽谢出人意外不胜悲 游仙今驾鹤那堪北堂杳慈颜
挽伯父联
寿终德望犹在    红日难留暮景推思犹子
人去徽音长存    白云不返竹林事死如生
勤劳毕生侄儿表率   想当年玉树交亲叨厚爱
忠厚一世邻里楷模   痛此日竹林挥泪有余悲
化落竹林痛失慈萱去早 昔年训诲亲承犹子鲤庭聆教范
光寒婺宿悲兴犹子来沉 此日音容顿香儿曹马诚感遗书
挽伯母联
痛伯母夏日炎炎伤驾鹤   扫榻飞烟惊化鹤
叹侄辈夜悲耿耿泪啼鹃   卷审留月伯母魂
魂归九天呼伯母   侄革分荣每祝萱堂多大寿
芳流百代忆高风   遗徽济美莫言葱肆少贤才
冥漠秋郊悲雨资冢母   勤俭持家半生最怜叔母苦
苍茫野陌怅风协诸孤   报酬天地六亲都为终世悲
挽叔父联
昔年训诲亲承犹子鲤庭聆教范  一世辛勤范式乡里
此日音容顿渺儿曹马诫感遗书  终生节俭泽留村邻
叔父早魂飞梅岭云寒未知何年还鹤驭
侄儿常泪湿枫江月冷怕逢薄暮听乌啼
小子愧庸才平时杖履追随辄喜竹林叨训诲
吾家多旧德此后门庭辑睦永教棣萼入诗歌
幼侄无知想当年训诲谆谆眷顾深恩同无极
悲叔忽逝叹今日音容寂寂空瞻遗颜有余哀
挽叔母联
勤俭持家半生最怜叔母苦  贤劳分得恩情乃犹子
报酬天地六亲都为此儿悲  缥缈更谁孤苦念零丁
幼年失恃仰荷慈云荻画著
远道相依遽歌薤露蓬山嗟
挽姑父联
身逝音容宛在    一生俭朴留典范
风遗德业长存    半世勤劳遗嘉风
勤以持家善教子女生前诸事无荒废 二竖膏育数月病魔唯一室
乐于助人声闻村邻殁后何人不含悲 双行血泪所夭痛别永千秋
公何憾平生平肆志徜徉有先畴有旧业有祖功宗德独嗟参术无灵侵
姑其寡矣半世躬操井臼能茹苦能含辛能相夫教子怎那芙蓉开老洒
挽姑母联
驾鹤西天去    谊属先姑光耀门楣叨慈荫
留名人世间    恩深犹子诗赓萝茑寄哀思
菱镜影孤哉惨听秋风吹落叶
锦机声寂矣愁看夜月照空帏
挽舅父联
舅父楼月冷  欲报母家厚望  风号夜树外甥啼
处士里星沉  难忘舅氏深情  雪扫重门白马咽
此日舅父骑鲸去   豚犬惊号苦雨寒冰封泰水
何年形音化鹤来   瑶池竟赴辞尘弃世痛蒹葭
风悲三秋桂子香时舅已逝
泪凄九月菊花开后甥来迟
挽舅母联
舅母似芳兰从此逝   懿训昔难忘自顾庸愚惭宅相
甥儿如泪人绕愁肠   慈容今顿杳甥未报答慰春晖
天台白楼归仙驾 舅娘一去香无影 兰摧工折舅母已去
慈爱舅娘三更梦 怜甥千声呼不回 花落水流外甥孤行
挽姨夫联
悼念不闻亲教诲   即谒高门早识邢谭通雅谊
情怀仍忆旧音容   来凭灵榇不堪萝茑失乔阴
儿孙称典范    冷雨迫残春时节偏逢百五日
邻里赞楷模    高风怀遗事音容遽渺九重泉
齿德兼尊犹执谦恭延后辈 小子有何知惟父母是依童年
典型俱在尚留声望启儿孙 亲情原最厚痛音容顿杳今日
挽姨母联
音容宛在 同行顿失慈容劳想像 恩谊略同甥舅与吾母姊妹
懿德永昭 教诲缅怀懿训寄悲哀 往来天向邢谭惟小子童蒙
挽友父联
德才见诒谋有子能担家务事 文章留人世先生教子义方千古
荣哀酬生平伤心遽失老太公 劫后情热忱造就桑梓今失中坚
天不遗一老   梁木忽崩折亲友衔哀长挥热泪
人已足千秋   国事方倚重先生著述永垂美名
挽友母联
忽报风凄三秦地    哀乐寄哀思亲友共钦贤母德
怕看云暗半边天    遗容寓遗志子孙长念三春晖
挽师长联
月落杜陵屋  满圆禾苗伤化雨 大雅云亡风凄紫陌
风凄董子帏  一门桃李哭春风 哲人其萎雨泣青效
学子无师表  感旧有怀同向丽 欲见严容何处觅
老成有典型  招魂何处问巫阳 惟思良训弗能闻
一世深交堪难得 四海声名今北斗 慈惠常留众口颂
九泉有知念旧情 百年文献老南村 典型堪作后人师
西河留教泽  想见仪容空有影 筑师未能如子贡
东壁陨文光  欲闻教诲杳无声 心丧聊以学檀弓
当年幸立程门雪 培育桃李曾尽瘁 教育深恩终身感戴
此日空怀马怅风 光辉竹帛永流芳 浩然正气万古长存
此老竟萧条，幸有高文垂宇宙 明月照寒窗，细检遗文长拭泪
平生怀大志，广栽桃李在人间 子规啼午夜．重怀旧事倍伤神
生有自来死而后已 好梦渺难寻 白雪阳春绝调竟成广陵散
斯文未丧吾道益孤 知音能有几 高山流水伤心求断伯牙琴
教泽宏施忆昔年同沾化雨 一生献丹诚，南山松柏长苍翠
音容顿隔痛此日空仰高山 九天无遗憾，故园桃李已芳菲
夫挽妻联
菱镜影弧惨听秋风吹落叶 不合时宜惟有朝云能识我
锦机声寂愁看夜月照空帏 独弹古调每逢暮雨倍思亲
梦游蝴蝶飞双影 云深竹径樽犹在 生前记得三冬暖
血泪杜鹃泣孤身 雪压芝田梦不回 逝后思量六月寒
春江桃叶莺啼湿 宝琴无声弦柱断 南极无辉寒北斗
夜雨梅花蝶梦寒 瑶台有月镜奁空 西风失望痛东人
炊臼梦来哭尔三年发白  一百年弹指光阴天胡此靳
