遥山丽如绮 长流萦似带
平生为客老 胜境失云栖
苦心如有感 他日自推公
雨夜扁舟发 花时别酒空
山怜九仙近 石买太湖奇
树势想高日 地形夸得时
待到中兴日 同看上国春
新诗说人尽 旧宅落花频
梧桐四更雨 山水一庭风
诗得如何句 仙游最胜宫
高斋秋不掩 几夜月当吟
落石有泉滴 盈庭无树阴
寻幽频宿寺 乞假拟归山
半白侵吟鬓 微红见药颜
关河初落日 霜雪下穷冬
野烧枯蓬旋 沙风匹马冲
吟销松际雨 冷咽石间泉
大国兵戈日 故乡饥馑年
辞家从早岁 落第在初场
青草湖田改 单车客路忙
如何冲腊雪 独自过商山
羸马高坡下 哀猿绝壁间
宦名中夜切 人事长年谙
古画僧留与 新知客遇谈
径松开雪后 砌竹忽僧敲
茗汲冰销溜 炉烧鹊去巢
迹寓枯槐曲 业芜芳草川
花当落第眼 雨暗出城天
亦在乾坤内 独无尘俗喧
新泉浮石藓 崩壁露松根
虽专良史业 未畏直臣心
路入丹霄近 家藏华岳深
正衙无吏近 高会觉人稀
海日旗边出 沙禽角外归
句成苔石茗 吟弄雪窗棋
沙草泉经涩 林斋客集迟
千家数人在 一税十年空
没阵风沙黑 烧城水陆红
世人谁到此 尘念自应忘
斜日风收钓 深秋雨信梁
枯杉擎雪朵 破牖触风开
泉自孤峰落 人从诸洞来
孤烟愁落日 高木病西风
山寂樵声出 露凉蝉思穷
曾有游山客 来逢采药翁
异花寻复失 幽径蹑还穷
或有人家创 还无莲幕馨
石曾湖岸见 琴误岳楼听
何必天台寺 幽禅瀑布房
簟舒湘竹滑 茗煮蜀芽香
穷居岁杪雨 孤坐夜深风
年长惭昭代 才微辱至公
诗见江南雹 游经塞北霜
驱车先五漏 把菊后重阳
百花无看处 三月到残时
游塞闻兵起 还吴值岁饥
绣户新夫妇 河梁生别离
陇花开不艳 羌笛静犹悲
山坐轺车看 诗持谏笔题
天开中国大 地设四维低
帝都秋未入 江馆夜相逢
瘴岭行冲夏 边沙住隔冬
岳僧同夜坐 江月看秋圆
琴拂莎庭石 茶担乳洞泉
独在异乡殁 若为慈母闻
青春成大夜 新雨坏孤坟
北阙定归去 东山空作期
绿苔劳扫径 丹凤欲衔词
积雪未开移发日 鸣蝉初急说来程
楚天去路过飞雁 灞岸归尘触锁城
蓬莱水浅有人说 商洛山高无客归
数只珍禽寒月在 千株古木热时稀
孤舟泊处联诗句 八月中旬宿洞庭
为客早悲烟草绿 移家晚失岳峰青
关山色死秋深日 鼓角声沈霜重天
荒骨或衔残铁露 惊风时掠暮沙旋
万里家山归养志 数年门馆受恩身
莺声历历秦城晓 柳色依依灞水春
南海浪高书堕水 北州城破客降胡
玉窗挑凤佳人老 绮陌啼莺碧树枯
试期交后犹为客 公道开时敢说冤
穷巷住来经积雨 故山归去见荒村
江上月明船发后 花间日暮信回时
五陵夜作酬恩计 四塞秋为破虏期
羁游数地值兵乱 宿在孤城闻雨秋
东越云山却思隐 西秦霜霰苦频留
大朝多事还停举 故国经荒未有家
鸟带夕阳投远树 人冲腊雪往边沙
不道鹤鸡殊羽翼 许依龙虎借风云
命奇未便乘东律 言重终期雪北军
江城日暮见飞处 旅馆月明闻过时
万里风霜休更恨 满川烟草且须疑
莫恋兔园留看雪 已乘骢马合凌霜
路归天上行方别 道在人间久便香
孤进难时谁肯荐 主司通处不须论
频秋入自边城雪 昨日听来岭树猿
一船风雨分襟处 千里烟波回首时
故国田园经战后 穷荒日月逼秋期
冢上题诗苏小见 江头酹酒伍员来
秋风急处烟花落 明月中时水寺开
十年除夜在孤馆 万里一身求大名
空有新诗高华岳 已无丹恳出秦城
白马嘶风三十辔 朱门秉烛一千家
郄诜联臂升天路 宣圣飞章奏日华
桂苑五更听榜后 蓬山二月看花开
垂名入甲成龙去 列姓如丁作鹤来
越客归遥春有雨 杜鹃啼苦夜无人
东堂岁去衔杯懒 南浦期来落泪频
虽忝立名经圣鉴 敢期兴咏叠嘉言
莫论蟾月无梯接 大底龙津有浪翻
已脱素衣酬素发 敢持青桂爱青山
虽知珠树悬天上 终赖银河接世间
何必锦衣须太守 别无莲幕胜王家
醴泉涌处休论水 黄菊开时独是花
名从两榜考升第 官自三台追起家
匹马有期归辇毂 故山无计恋桑麻
闽江似镜正堪恋 秦客如蓬难久留
匹马忍辞藩屏去 小才宁副庙堂求
三征不起时贤议 九转终成道者言
绿酒千杯肠已烂 新诗数首骨犹存
新草军书名更重 久辞山径业应空
渡头潮落将行客 天际风高未宿鸿
孤枕忆山千里外 破窗闻雨五更初
经年荒草侵幽径 几树西风锁弊庐
剖竹已知垂凤食 摘珠何必到龙宫
谏垣虚位期飞步 翰苑含毫待纪公
甲乙中时公道复 朝廷看处主司夸
飞离海浪从烧尾 咽却金丹定易牙
眼前道路无心觅 象外烟霞有句通
几度相留侵鼓散 频闻会宿著僧同
若非似水清无底 争得如冰凛拂人
月狖声和琴调咽 烟村景接柳条春
新劚松萝还不住 爱寻云水拟何之
孤溪雪满维舟夜 叠嶂猿啼过寺时
垂柳五株春娅姹 鸣琴一弄水潺湲
援毫断狱登殊考 驻乐题诗得出联
数枝红蜡啼香泪 两面青娥拆瑞莲
清管彻时斟玉醑 碧筹回处掷金船
曾为蜀山成寓迹 又因湘水拟营家
鸣琴坐见燕鸿没 曳履吟忘野径赊
竿底得璜犹未用 梦中吞鸟拟何为
损生莫若攀丹桂 免俗无过咏紫芝
空垂凤食檐前竹 漫拔龙形涧底松
隔岸青山秋见寺 半床明月夜闻钟
深院月凉留客夜 古杉风细似泉时
尝频异茗尘心净 议罢名山竹影移
亦从南院看新榜 旋束春关归故乡
水到吴门方见海 树侵闽岭渐无霜
免遭拽盏郎君谑 还被簪花录事憎
丝管合时思索马 池塘晴后独留僧
璧连标格惊分散 雪课篇章互唱酬
魏阙别当飞羽翼 燕台独且占风流
燕颔已知飞食肉 龙门犹自退为鱼
红楼入夜笙歌合 白社惊秋草木疏
到日荆枝应便茂 别时珠泪不须流
迎欢酒醒山当枕 咏古诗成月在楼
碑折谁忘康乐制 山灵表得远公名
松形入汉藤萝短 僧语离经耳目清
花作城池入官处 锦随刀尺少年时
两衙断狱兼留客 三考论功合树碑
南史两荣唯百揆 东闽双拜有三台
二天在顶家家咏 丹凤衔书岁岁来
自顾幽沈槐省迹 得陪清显谏垣臣
分题晓并兰舟远 对坐宵听月狖频
燕国金台无别客 陶家柳下有清风
数踪篆隶书新得 一灶屯蒙火细红
虽言天上光阴别 且被人间更漏催
烟树迥垂连蒂杏 彩童交捧合欢杯
银河水到人间浊 丹桂枝垂月里馨
霜雪不飞无翠竹 鲸鲵犹在有青萍
世间无树胜青桂 陇上有花唯白杨
秦苑火然新赋在 越城山秀故居荒
华表柱头还有鹤 华歆名下别无龙
君恩凤阁含毫数 诗景珠宫列肆供
诗里几曾吟芍药 花中方得见菖蒲
阳春唱后应无曲 明月圆来别是珠
昆璞要疑方卓绝 大鹏须息始开张
已归天上趋双阙 忽喜人间捧八行
唯爱金笼贮鹦鹉 谁论铁柱锁蛟龙
荆榛翠是钱神染 河岳期须国士钟
衰碧鸣蛩莎有露 浓阴歇鹿竹无烟
水从井底通沧海 山在窗中倚远天
冲水路从冰解断 逾城人到月明归
燕山腊雪销金甲 秦苑秋风脆锦衣
故人殁后城头月 新鸟啼来垄上花
卖剑钱销知绝俗 闻蝉诗苦即思家
龙门在地从人上 郎省连天须鹤游
休恋一台惟妙绝 已经三字入精求
龙颔摘珠同泳海 凤衔辉翰别升天
八行真迹虽收拾 四户高扃奈隔悬
豸角戴时垂素发 鸡香含处隔青天
绮园难贮林栖意 班马须持笔削权
衣锦还乡翻是客 回车谒帝却为归
凤旋北阙虚丹穴 星复南宫逼紫微
三品易悬鳞鬣赫 八丝展起彩章飞
夐为胜事垂千古 题作新诗启七微
东越独推生竹箭 北溟喜足贮鲲鱼
两回谁解归华表 午夜兼能荐子虚
驷马宝车行锡礼 金章紫绶带天香
山从南国添烟翠 龙起东溟认夜光
花迎金册非时拆 月对琼杯此夜圆
我爱藏冰从夏结 君怜修竹到冬鲜
一轴郢人歌处雪 两重朱氏著来衣
闽山秀已钟君尽 洛水波应溅我稀
松竹迥寻青障寺 姓名题向白云楼
泉源出石清消暑 僧语离经妙破愁
甄山秀气旷千古 凤阙华恩钟二人
起草便论天上事 如君不是世间身
鸣泉亦感上皇意 流下陇头呜咽多
龙脑移香凤辇留 可能千古永悠悠
觅句朝忘食 倾杯夜废眠
爱月影为伴 吟风声自连
满衣冰彩拂不落 遍地水光凝欲流
华岳影寒清露掌 海门风急白潮头
混沌分来融间气 欃枪灭处炫文星
烛然兰省三条白 山束龙门万仞青
鸾旃再立星辰正 雉扇双开日月明
自有汉元争翊戴 不劳商皓定欹倾
弦管旋飘蓬岛去 公卿皆是蕊宫来
金鳞掷浪钱翻荇 玉爵粘香雪泛梅
脱俗文章笑鹦鹉 凌云头角压麒麟
金壶藉草溪亭晚 玉勒穿花野寺春
画船清宴蛮溪雨 粉阁闲吟瘴峤云
暴客卸戈归惠政 史官调笔待儒勋
花心露洗猩猩血 水面风披瑟瑟罗
庄叟静眠清梦永 客儿芳意小诗多
身谪蓬莱金籍外 宝装方丈玉堂前
虎靴醉索将军脱 鸿笔悲无令子传
金笼夜黯山西梦 玉枕晓憎帘外声
才子爱奇吟不足 美人怜尔绣初成
朱门泣别同鲛客 紫塞旅游随雁臣
汉将出师冲晓雪 胡儿奔马扑征尘
一篷秋雨睡初起 半砚冷云吟未成
青笠渔儿筒钓没 蒨衣菱女画桡轻
尽待花开添凤食 可怜风击状龙吟
钿竿离立霜文静 锦箨飘零粉节深
吟去星辰笔下动 醉来嵩华眼中无
峭如谢桧虬蟠活 清似缑山凤路孤
山势北蟠龙偃蹇 泉声东漱玉琤瑽
古陂狐兔穿蛮冢 破寺荆榛拥佛幢
红艳袅烟疑欲语 素华映月只闻香
剪裁偏得东风意 淡薄似矜西子妆
江边云卧如龙稳 天外泥书遣鹤来
五夜药苗滋沆瀣 四时花影荫莓苔
月中青桂渐看老 星畔白榆还报秋
鹤禁有知须强进 稽峰无事莫相留
天马难将朱索绊 海鳌宁觉碧涛宽
松坛月作尊前伴 竹箧书为教外欢
威慑万人长凛凛 礼延群客每谦谦
阵前战马黄金勒 架上兵书白玉签
雷劈老松疑虎怒 雨冲阴洞觉龙腥
万畦香稻蓬葱绿 九朵奇峰扑亚青
阵面奔星破犀象 笔头飞电跃龙蛇
绛帏夜坐穷三史 红旆春行到九华
旅客思归鸿去日 贤侯行化子来时
郡楼遐想刘琨啸 相阁方窥谢傅棋
先生鬓为吟诗白 上相心因治国劳
千乘信回鱼榼重 九华秋迥凤巢高
大鹏出海翎犹湿 骏马辞天气正豪
九子旧山增秀绝 二南新格变风骚
旧友只樵叟 新交惟野鸥
嘉名悬日月 深谷化陵丘
白发随梳少 青山入梦多
途穷怜抱疾 世乱耻登科
有酒刘伶醉 无儿伯道穷
新诗吟阁赏 旧业钓台空
雪色老人鬓 桃花童子颜
祭星秋卜日 采药晓登山
绀发青螺长 文茵紫豹重
卵枯皆化燕 蜜老却成蜂
卷旆早归国 卧尸犹臂弓
草间腥半在 沙上血残红
泪尽黄云雨 尘消白草风
君心争不悔 恨思竟何穷
餐松双鬓嫩 绝粒四支轻
雨雪思中岳 云霞梦赤城
莫讶清时少 都缘曲处多
远能通玉塞 高复接银河
旧僧归塔尽 古瓦长松多
壁藓昏题记 窗萤散薜萝
心闲缘事少 身老爱山多
玉露催收菊 金风促剪禾
岁计悬僧债 科名负国恩
不书胝渐稳 频镊鬓无根
直指宁偏党 无私绝觊觎
当歌谁擐袖 应节渐轻躯
直节岩前竹 孤魂岭上云
缙绅传确论 丞相取遗文
妻病入仙观 子穷随岳僧
荒丘寒有雨 古屋夜无灯
五金池畔质 百和口中烟
觜钝鱼难啄 心空火自燃
守信催朝日 能鸣送晓阴
峨冠装瑞璧 利爪削黄金
粉翎栖画阁 雪影拂琼窗
振鹭堪为侣 鸣鸠好作双
青荷巢瑞质 绿水返灵踪
钻骨神明应 酬恩感激重
瑞莲开二孕 琼缕织千条
蝉翼轻轻结 花纹细细挑
锦水饶花艳 岷山带叶青
文君惭婉娩 神女让娉婷
桐枯丹穴凤何去 天在鼎湖龙不归
帘影罢添新翡翠 露华犹湿旧珠玑
年来却恨相思树 春至不生连理枝
雪女冢头瑶草合 贵妃池里玉莲衰
几日淋漓侵暮角 数宵滂沛彻晨钟
细如春雾笼平野 猛似秋风击古松
得争野老眠云乐 倍感闽王与善恩
鸟趁竹风穿静户 鱼吹烟浪喷晴轩
雀儿无角长穿屋 鹦鹉能言却入笼
柳惠岂嫌居下位 朱云直去指三公
白云明月皆由我 碧水青山忽赠君
浮世宦名浑似梦 半生勤苦谩为文
市门逐利终身饱 谷口躬耕尽日饥
琼玖鬻来燕石贵 蓬蒿芳处楚兰衰
百禽罗得皆黄口 四皓山居始白头
玉烁火光争肯变 草芳崎岸不曾秋
三年卧病不能免 一日受恩方得还
明月送人沿驿路 白云随马入柴关
一生有酒唯知醉 四大无根可预量
骨冷欲针先觉痛 肉顽频灸不成疮
长闲便是忘机者 不出真如过夏僧
环堵岂惭蜗作舍 布衣宁假鹤为翎
独含冬夜寒光拆 不傍春风暖处开
难见只因能送喜 莫挑唯恐堕成灰
欲别未攀杨柳赠 相留拟待牡丹开
寒随御水波光散 暖逐衡阳雁影来
道在或期君梦想 贫来争奈鬼揶揄
马卿自愧长婴疾 颜子谁怜不是愚
惊鱼掷上绿荷芰 栖鸟啄馀红荔枝
末路可能长薄命 修途应合有良时
蔷薇藤老开花浅 翡翠巢空落羽奇
春榜几深门下客 乐章多取集中诗
绿杨树老垂丝短 翠竹林荒著笋稀
结社僧因秋朔吊 买书船近葬时归
年年燕是雕梁主 处处花随落月尘
七贵竟为长逝客 五侯寻作不归人
十分春水双檐影 一片秋空两月悬
前岸好山摇细浪 夹门嘉树合晴烟
笼鸟上天犹有待 病龙兴雨岂无期
身闲不厌频来客 年老偏怜最小儿
直在引风欹角枕 且图遮日上渔船
但令织取无花簟 不用挑为饮露蝉
鬼神只阚高明里 倚伏不干栖隐家
陶景岂全轻组绶 留侯非独爱烟霞
斗开碧沼分明月 各领青山占白云
近日药方多缮写 旧来诗草半烧焚
绝却腥膻胜服药 断除杯酒合延年
蜗牛壳漏宁同舍 榆荚花开不是钱
天暖天寒三月暮 溪南溪北两村名
沙澄浅水鱼知钓 花落平田鹤见耕
渔阳路远书难寄 衡岳山高月不来
玄燕有情穿绣户 灵龟无应祝金杯
丰年甲子春无雨 良夜庚申夏足眠
颜氏岂嫌瓢里饮 孟光非取镜中妍
时来不怕沧溟阔 道大却忧潢潦深
白首钓鱼应是分 青云干禄已无心
家无寸帛浑闲事 身似浮云且自由
庭际鸟啼花旋落 潭心月在水空流
躬耕为食古人操 非织不衣贤者心
眼众岂能分瑞璧 舌多须信烁良金
石家恃富身还灭 颜子非贫道不遭
蝙蝠亦能知日月 鸾凤那肯啄腥臊
多藏苟得何名富 饱食嗟来未胜饥
穷寂不妨延寿考 贪狂总待算毫厘
霜月冷销银烛焰 宝瓯圆印彩云英
娇含嫩脸春妆薄 红蘸香绡艳色轻
紫陌昔曾游寺看 朱门今在绕栏望
龙分夜雨资娇态 天与春风发好香
青春不驻堪垂泪 红艳已空犹倚栏
积藓下销香蕊尽 晴阳高照露华干
裁分楚女朝云片 剪破姮娥夜月光
雪句岂须征柳絮 粉腮应恨帖梅妆
王侯买得价偏重 桃李落残花始开
宋玉邻边腮正嫩 文君机上锦初裁
闲看红艳只须醉 谩惜黄金岂是贤
南国好偷夸粉黛 汉宫宜摘赠神仙
月明南浦梦初断 花落洞庭人未归
天远有书随驿使 夜长无烛照寒机
秾艳尽怜胜彩绘 嘉名谁赠作玫瑰
春藏锦绣风吹拆 天染琼瑶日照开
举世更谁怜洁白 痴心皆尽爱繁华
玄冥借与三冬景 谢氏输他六出花
消灾辟恶君须采 冷露寒霜我自禁
篱物早荣还早谢 涧松同德复同心
曾当月照还无影 若许风吹合有声
枝偃只应玄鹤识 根深且与茯苓生
菊英空折罗含宅 榆荚不生原宪家
天命岂凭医药石 世途还要辟虫沙
龙盘劲节岩前见 鹤唳翠梢天上闻
大厦可营谁择木 女萝相附欲凌云
游丝挂处渔竿去 绿水夹时龙影来
风触有声含六律 露沾如洗绝浮埃
逐将白日驰青汉 衔得流星入画门
步骤最能随手转 性灵多恐会人言
飞鹊印成香蜡片 啼猿溪走木兰船
金槽和碾沈香末 冰碗轻涵翠缕烟
身同绿树年年老 事比红尘日日生
六国英雄徒反覆 九原松柏甚分明
采茗早驰三蜀使 看花甘负五侯期
窗间近火刘伶传 坐右新铭管仲辞
游鱼不爱金杯水 栖鸟敢求琼树枝
陶景恋深松桧影 留侯抛却帝王师
叠嶂出关分二陕 残冈过水作中条
巨灵庙破生春草 毛女峰高入绛霄
山中宰相陶弘景 谷口耕夫郑子真
宦达到头思野逸 才多未必笑清贫
天开白日临军国 山夹黄河护帝居
隋炀远游宜不反 奉春长策竟何如
故山远处高飞雁 去马鸣时先早鸡
关柳不知谁氏种 岳碑犹见圣君题
皇王尚法三推礼 白社宁忘四体勤
雨洒蓑衣芳草暗 鸟啼云树小村贫
火光只是烧秦冢 贼眼何曾视灞陵
钟鼓煎催人自急 侯王更换恨难胜
三秋病起见新雁 八月夜长思旧居
宗伯帐前曾献赋 相君门下再投书
词赋有名堪自负 春风落第不曾羞
风尘色里凋双鬓 鼙鼓声中历几州
旋从古辙成深谷 几见金舆过上阳
洛水送年催代谢 嵩山擎日拂穹苍
红鹅化鹤青天远 彩笔成龙绿水空
爱竹只应怜直节 书裙多是为奇童
国有安危期日谏 家无担石暂从军
非才岂合攀丹桂 多病犹堪伴白云
心学庭槐空发火 鬓同门柳即垂丝
中兴未遇先怀策 除夜相催也课诗
牡丹窠小春馀雨 杨柳丝疏夏足风
愁鬓已还年纪白 衰容宁藉酒杯红
妆台尘暗青鸾掩 宫树月明黄鸟啼
庭草可怜分雨露 君恩深恨隔云泥
三门里面千层阁 万井中心一朵山
江拗碧湾盘洞府 石排青壁护禅关
灯前不动惟金像 壁上曾题尽古人
鶗鴂声中双阙雨 牡丹花际六街尘
题名尽是台衡迹 满壁堪为宰辅图
鸾凤岂巢荆棘树 虬龙多蛰帝王都
农罢树阴黄犊卧 斋时山下白衣来
松因往日门人种 路是前生长老开
鹤栖云路看方贵 僧倚松门见始高
名利罢烧心内火 雪霜偏垢鬓边毛
白云送雨笼僧阁 黄叶随风入客堂
终去四明成大道 暂从双鬓许秋霜
浮生真个醉中梦 闲事莫添身外愁
百岁付于花暗落 四时随却水奔流
石和云雾莲华气 月过楼台桂子清
腾踏回桥巡像设 罗穿曲洞出龙城
县留东道三千客 宅锁南塘一片山
草色净经秋雨绿 烧痕寒入晓窗斑
明月似师生又没 白云如客去还来
烟笼瑞阁僧经静 风打虚窗佛幌开
旧业旋从征赋失 故人多逐乱离空
因悲尽室如悬罄 却拟携家学转蓬
托客买书重得卷 爱山移宅近为邻
鸣蛩阁上风吹病 落叶庭中月照贫
秦宫犹自拜张禄 楚幕不知留范增
大道岂全关历数 雄图强半属贤能
宣尼既没苏张起 凤鸟不来鸡雀喧
刍少可能供骥子 草多谁复访兰荪
依稀日下分天阙 隐映云边是国门
锦袖臂鹰河北客 青桑鸣雉渭南村
纵然一世如红叶 犹得十年吟白云
性逸且图称野客 才难非敢傲明君
剪平恰似山僧笠 扫静真同道者庐
秋晚卷帘看过雁 月明凭槛数跳鱼
衡茅只要免风雨 藻棁不须高栋梁
丰蔀仲尼明演易 作歌五子恨雕墙
瘦于南国从军日 老却东堂射策年
潭底看身宁有异 镜中引影更无偏
万里便随金鸑鷟 三台仍借玉连钱
花浮酒影彤霞烂 日照衫光瑞色鲜
金榜连名升碧落 紫花封敕出琼宫
天知惜日迟迟暮 春为催花旋旋红
肯销金翠书屏上 谁把刍荛过日东
郯子昔时遭孔圣 繇余往代讽秦宫
清时名立难皆我 晚岁途穷亦问谁
碧岸钓归惟独笑 青山耕遍亦何为
严陵虽说临溪隐 晏子还闻近市居
佳句丽偷红菡萏 吟窗冷落白蟾蜍
身到西山书几达 官登南省鬓初华
厨非寒食还无火 菊待重阳拟泛茶
神传尊胜陀罗咒 佛授金刚般若经
懿德好书添女诫 素容堪画上银屏
须知红杏园中客 终作金銮殿里臣
逸少家风惟笔札 玄成世业是陶钧
十年去里荆门改 八岁能诗相座吟
李广不侯身渐老 子山操赋恨何深
青山入眼不干禄 白发满头犹著书
东涧野香添碧沼 南园夜雨长秋蔬
李树影笼周柱史 昴星光照汉酂侯
数钟龟鹤千年算 律正乾坤八月秋
丹凤诏成中使取 白龙香近圣君来
欲言温署三缄口 闲赋宫词八斗才
杜预注通三十卷 汉皇枝绍几千年
言端信义如明月 笔下篇章似涌泉
惟忧急诏归青琐 不得经时卧白云
千载茯苓携鹤劚 一峰仙掌与僧分
归日捧持明月宝 去时期刻刺桐花
春风避酒多游寺 晓骑听鸡早入衙
疾危必厌神明药 心惑多嫌正直言
冷眼静看真好笑 倾怀与说却为冤
清歌早贯骊龙颔 丹桂曾攀玉兔宫
杨柳堤边梅雨熟 鹧鸪声里麦田空
北风吹雨黄梅落 西日过湖青草深
竞渡岸傍人挂锦 采芳城上女遗簪
吕望岂嫌垂钓老 西施不恨浣纱贫
坐为羽猎车中相 飞作君王掌上身
鸿才入贡无人换 白首从军有诏征
博簿集成时辈骂 谗书编就薄徒憎
碧沼共攀红菡萏 金鞍不卸紫麒麟
残阳妒害催归客 薄酒甘尝罚主人
求从白石洞中得 携向百花岩畔来
几夕露珠寒贝齿 一泓银水冷琼杯
日走登天长似箭 人同红树岂经霜
帆分南浦知离别 驾在东州更可伤
馨香乍揭春风瓮 拨剌初辞夜雨津
樽阔最宜澄桂液 网疏殊未损霜鳞
能均汉祚三分业 不负荆州六尺孤
绿水有鱼贤已得 青桑如盖瑞先符
十年小怨诛桓邵 一檄深雠怨孔璋
在井蛰龙如屈伏 食槽骄马忽腾骧
不迎曹操真长策 终谢张昭见硕贤
建业龙盘虽可贵 武昌鱼味亦何偏
罪归成济皇天恨 戈犯明君万古悲
巴蜀削平轻似纸 勾吴吞却美如饴
书中不礼隋文帝 井底常携张贵嫔
玉树歌声移入哭 金陵天子化为臣
高才无主不能用 直道有时方始平
喜愠子文何颖悟 卷藏蘧瑗甚分明
日中月满可能久 花落色衰殊未忧
公主镜中争翠羽 君王袖底夺金钩
堂上有兵天不用 幄中无策印空多
尘惊骑透潼关锁 云护龙游渭水波
吟开锁闼窥天近 醉卧金銮待诏闲
旧隐不归刘备国 旅魂长寄谢公山
皇王去国未为恨 寰海失君方是忧
五色大云凝蜀郡 几般妖气扑神州
金多倍著牡丹价 发白未知章甫贤
有耳不闻经国事 拜官方买谢恩笺
歌残白石扣牛角 赋换黄金爱马卿
沧海二隅身渐老 太行千叠路难行
人间搦管穷苍颉 地上修文待卜商
真魄肯随金石化 真风留伴蕙兰香
虽催前代英雄死 还促后来贤圣生
三尺灵乌金借耀 一轮飞镜水饶清
姮娥一只眉先扫 织女三分镜未光
珠箔寄钩悬杳霭 白龙遗爪印穹苍
不散几知离毕雨 欲飞须待落花风
玲珑薄展蛟绡片 幂历轻含凤竹丛
闲栖仙禁日边柳 饥啄御园天上花
睍睆只宜陪阁凤 间关多是问宫娃
减食为缘疏五味 不眠非是守庚申
深园竹绿齐抽笋 古木蛇青自脱鳞
铁嶂有楼霾欲堕 石门无锁路还迷
湖头鲤去轰雷在 树杪猿啼落日低
但教绿水池塘在 自有碧天鸿雁来
清韵叫霜归岛树 素翎遗雪落渔台
啼归明月落边树 飞入百花深处烟
避烧几曾遗远岫 引雏时见饮晴川
惟擒燕雀啖腥血 却笑鸾皇啄翠筠
狡兔穴多非尔识 鸣鸠脰短罚君身
似涵明月波宁隔 欲上轻冰律未移
薄雾罩来分咫尺 碧绡笼处较毫厘
金匣掠平花翡翠 绿窗裁破锦鸳鸯
初栽连理枝犹短 误绾同心带不长
一床明月盖归梦 数尺白云笼冷眠
披对劲风温胜酒 拥听寒雨暖于绵
误悬谢守澄江练 自宿嫦娥白兔宫
几叠玉山开洞壑 半岩春雾结房栊
功剜明月染春水 轻旋薄冰盛绿云
古镜破苔当席上 嫩荷涵露别江濆
累累节转苍龙骨 寸寸珠联巨蚌胎
须向广场驱驵骏 莫从闲处挞驽骀
闲垂别殿风应度 半掩行宫麝欲薰
绣户远笼寒焰重 玉楼高挂曙光分
荧煌短焰长疑暗 零落残花旋委空
几处隔帘愁夜雨 谁家当户怯秋风
霜浓雪暗知何在 道契时来忽自扬
曾伴一樽临小槛 几遮残日过回廊
能于祸处翻为福 解向雠家买得恩
几怪邓通难免饿 须知夷甫不曾言
罗带绣裙轻好系 藕丝红缕细初缝
别来拭泪遮桃脸 行去包香坠粉胸
浅澄秋水看云母 碎擘轻苔间粉霞
写赋好追陈后宠 题诗堪送窦滔家
抛过碧江鸂鶒岸 轧残金井辘轳声
轴磨騂角冰光滑 轮卷春丝水面平
解笼飞霭延芳景 不逐乱花飘夕晖
啼鸟噪蝉堪怅望 舞烟摇水自因依
黄叶落催砧杵日 子规啼破梦魂时
明妃去泣千行泪 蔡琰归梳两鬓丝
姑苏麋鹿食思食 楚泽王孙来不来
色嫩似将蓝汁染 叶齐如把剪刀裁
流光堪在珠玑列 为火不生榆柳中
一一照通黄卷字 轻轻化出绿芜丛
莫言通海能通汉 虽解浮舟也覆舟
湘浦暮沈尧女怨 汾河秋泛汉皇愁
金谷晓凝花影重 章华春映柳阴浓
石桥羽客遗前迹 陈阁才人没旧容
潼关鸡唱促归骑 金殿烛残求御衣
窗下寒机犹自织 梁间栖燕欲双飞
东门匹马夜归处 南浦片帆飞去时
赋罢江淹吟更苦 诗成苏武思何迟
剡川雪满子猷去 汉殿月生王母来
檐挂蛛丝应渐织 风吹萤火不成灰
千山草木如云暗 陆地波澜接海平
洒竹几添春睡重 滴檐偏遣夜愁生
密行碧水澄涵月 涩滞轻桡去采蘋
比物何名腰下剑 无根堪并镜中身
乌江项籍忍归去 雁塞李陵长系留
燕国飞霜将破夏 汉宫纨扇岂禁秋
紫塞别当秋露白 碧山飞入暮霞红
宣王德美周诗内 苏武书传汉苑中
新声乍警初零露 折羽闲飞几片霜
要伴神仙归碧落 岂随龟雁住方塘
香闺报喜行人至 碧汉填河织女回
明月解随乌绕树 青铜宁愧雀为台
红窗透出鸳衾冷 白草飞时雁塞寒
露结芝兰琼屑厚 日干葵藿粉痕残
飘成远浪江湖际 吹起暮尘京洛中
飞雪萧条残腊节 落花狼藉古行宫
断岸晓看残月挂 远湾寒背夕阳收
川平直可追飞箭 风健还能溯急流
文通毫管醒来异 武帝蘅芜觉后香
傅说已征贤可辅 周公不见恨何长
鳌山海上秦娥去 鲈脍江边齐掾还
青帝郊坰平似砥 主人阶级峻如山
秦帝城高坚似铁 李斯书上曲如钩
宁惟东岳凌天秀 更有长庚瞰曙流
火山远照苍梧郡 铜柱高标碧海乡
陆贾几时来越岛 三闾何日濯沧浪
天心白日休空蔽 海上故山应自归
似盖好临千乘载 如罗堪剪六铢衣
何嫌何恨秋须去 无约无期春自归
雕鹗不容应不怪 栋梁相庇愿相依
壳蜕已从今日化 声愁何似去年中
朝催篱菊花开露 暮促庭槐叶坠风
散彩几当蝉饮际 凝光宜对蚌胎前
朝垂苑草烟犹重 夜滴宫槐月正圆
流为洞府千年酒 化作灵山几袭衣
野烧焰连殊赫奕 愁云阴隔乍依稀
编为细履随君步 织作轻帆送客愁
疏叶稍为投饵钓 密丛还碍采莲舟
高成瀑布漱逋客 清入御沟朝圣君
迸滴几山穿破石 迅飞层峤喷开云
能滋甘雨随车润 不并行云逐梦踪
